transaction_id,product_id,customer_id,transaction_date,online_order,order_status,list_price
1,2,2950,2017-02-25,False,Approved,71.49
2,3,3120,2017-05-21,True,Approved,2091.47
3,37,402,2017-10-16,False,Approved,1793.43
4,88,3135,2017-08-31,False,Approved,1198.46
5,78,787,2017-10-01,True,Approved,1765.3
6,25,2339,2017-03-08,True,Approved,1538.99
7,22,1542,2017-04-21,True,Approved,60.34
8,15,2459,2017-07-15,False,Approved,1292.84
9,67,1305,2017-08-10,False,Approved,1071.23
10,12,3262,2017-08-30,True,Approved,1231.15
11,5,1986,2017-01-17,False,Approved,574.64
12,61,2783,2017-01-05,True,Approved,71.16
13,35,1243,2017-02-26,True,Approved,1057.51
14,16,2717,2017-09-10,False,Approved,1661.92
15,12,247,2017-06-11,False,Approved,1765.3
16,3,2961,2017-10-10,False,Approved,2091.47
17,79,2426,2017-04-03,False,Approved,1555.58
18,33,1842,2017-06-02,False,Approved,1311.44
19,54,2268,2017-04-06,True,Approved,1292.84
20,25,3002,2017-01-28,True,Approved,1538.99
21,27,1582,2017-10-09,False,Approved,499.53
22,37,595,2017-06-29,True,Approved,1793.43
23,37,2001,2017-04-08,True,Approved,1793.43
24,82,515,2017-10-18,False,Approved,1538.99
25,89,2822,2017-06-11,False,Approved,1362.99
26,64,2596,2017-01-10,False,Approved,1469.44
27,64,2666,2017-04-11,True,Approved,1469.44
28,19,76,2017-12-23,False,Approved,574.64
29,72,3368,2017-10-13,True,Approved,360.4
30,91,1173,2017-03-15,False,Approved,642.31
31,88,2810,2017-09-05,True,Approved,1198.46
32,1,3214,2017-02-18,False,Approved,1403.5
33,25,1272,2017-03-20,False,Approved,1538.99
34,99,2003,2017-02-28,True,Approved,1720.7
35,0,2171,2017-08-20,False,Approved,544.05
36,92,3356,2017-07-07,False,Approved,1415.01
37,14,1040,2017-01-09,False,Approved,1842.92
38,2,2916,2017-12-06,False,Approved,71.49
39,12,427,2017-09-12,False,Approved,1231.15
40,0,2448,2017-11-28,True,Approved,544.05
41,44,2570,2017-05-08,True,Approved,1769.64
42,79,3398,2017-05-14,False,Approved,2083.94
43,76,488,2017-03-17,False,Cancelled,642.31
44,46,165,2017-12-22,False,Approved,1289.85
45,55,2787,2017-06-07,True,Approved,1894.19
46,66,3053,2017-06-20,False,Approved,1163.89
